date,close
2023-06-21,22.78
2023-06-22,23.1
2023-06-23,21.89
2023-06-26,22.09
2023-06-27,24.37
2023-06-28,23.72
2023-06-29,23.81
2023-06-30,24.83
2023-07-03,25.49
2023-07-05,23.85
2023-07-06,22.98
2023-07-07,22.96
2023-07-10,24.32
2023-07-11,24.34
2023-07-12,25.69
2023-07-13,27.28
2023-07-14,26.23
2023-07-17,28.06
2023-07-18,28.26
2023-07-19,27.29
2023-07-20,24.29
2023-07-21,24.92
2023-07-24,24.9
2023-07-25,26.13
2023-07-26,25.06
2023-07-27,26.46
2023-07-28,28.15
2023-07-31,28.41
2023-08-01,28.53
2023-08-02,25.28
2023-08-03,25.15
2023-08-04,24.88
2023-08-07,25.66
2023-08-08,24.46
2023-08-09,23.09
2023-08-10,22.81
2023-08-11,21.14
2023-08-14,22.93
2023-08-15,21.8
2023-08-16,20.53
2023-08-17,19.91
2023-08-18,20.15
2023-08-21,21.88
2023-08-22,21.35
2023-08-23,22.6
2023-08-24,20.41
2023-08-25,20.66
2023-08-28,21.42
2023-08-29,23.07
2023-08-30,23.4
2023-08-31,23.86
2023-09-01,24.02
2023-09-05,24.02
2023-09-06,23.44
2023-09-07,21.87
2023-09-08,21.5
2023-09-11,21.45
2023-09-12,20.94
2023-09-13,21.23
2023-09-14,21.65
2023-09-15,19.79
2023-09-18,19.93
2023-09-19,19.43
2023-09-20,18.48
2023-09-21,17.42
2023-09-22,17.84
2023-09-25,18.22
2023-09-26,17.24
2023-09-27,17.68
2023-09-28,18.64
2023-09-29,18.87
2023-10-02,19.08
2023-10-03,17.89
2023-10-04,18.64
2023-10-05,18.4
2023-10-06,19.47
2023-10-09,19.38
2023-10-10,20.05
2023-10-11,20.51
2023-10-12,20.68
2023-10-13,18.98
2023-10-16,19.81
2023-10-17,19.3
2023-10-18,18.28
2023-10-19,17.43
2023-10-20,16.64
2023-10-23,16.39
2023-10-24,17.04
2023-10-25,14.97
2023-10-26,14.73
2023-10-27,15.1
2023-10-30,14.53
2023-10-31,14.9
2023-11-01,15.95
2023-11-02,17.08
2023-11-03,18.38
2023-11-06,18.25
2023-11-07,18.6
2023-11-08,18.67
2023-11-09,18.39
2023-11-10,20.6
2023-11-13,20.02
2023-11-14,22.14
2023-11-15,22.63
2023-11-16,22.72
2023-11-17,23.13
2023-11-20,24.18
2023-11-21,22.84
2023-11-22,23.0
2023-11-24,23.09
2023-11-27,22.97
2023-11-28,22.54
2023-11-29,23.22
2023-11-30,22.81
2023-12-01,23.07
2023-12-04,22.31
2023-12-05,21.93
2023-12-06,21.47
2023-12-07,23.18
2023-12-08,23.7
2023-12-11,26.11
2023-12-12,26.65
2023-12-13,27.92
2023-12-14,30.19
2023-12-15,30.57
2023-12-18,30.29
2023-12-19,30.75
2023-12-20,28.1
2023-12-21,30.26
2023-12-22,30.51
2023-12-26,32.16
2023-12-27,32.35
2023-12-28,32.22
2023-12-29,31.4
2024-01-02,28.04
2024-01-03,26.25
2024-01-04,25.58
2024-01-05,25.93
2024-01-08,28.43
2024-01-09,28.42
2024-01-10,28.17
2024-01-11,28.46
2024-01-12,28.1
2024-01-16,29.19
2024-01-17,28.43
2024-01-18,31.19
2024-01-19,34.86
2024-01-22,35.26
2024-01-23,35.92
2024-01-24,37.42
2024-01-25,37.12
2024-01-26,34.01
2024-01-29,35.04
2024-01-30,33.53
2024-01-31,32.1
2024-02-01,32.45
2024-02-02,33.65
2024-02-05,35.1
2024-02-06,33.83
2024-02-07,35.36
2024-02-08,37.15
2024-02-09,39.32
2024-02-12,39.15
2024-02-13,36.84
2024-02-14,39.12
2024-02-15,39.11
2024-02-16,38.33
2024-02-20,36.42
2024-02-21,36.14
2024-02-22,41.42
2024-02-23,40.17
2024-02-26,41.21
2024-02-27,41.11
2024-02-28,39.8
2024-02-29,42.84
2024-03-01,48.33
2024-03-04,49.77
2024-03-05,46.84
2024-03-06,50.22
2024-03-07,55.32
2024-03-08,48.95
2024-03-11,46.77
2024-03-12,49.58
2024-03-13,46.08
2024-03-14,43.53
2024-03-15,42.74
2024-03-18,42.54
2024-03-19,41.42
2024-03-20,43.4
2024-03-21,46.31
2024-03-22,46.43
2024-03-25,45.89
2024-03-26,45.03
2024-03-27,46.5
2024-03-28,46.53
2024-04-01,47.99
2024-04-02,45.88
2024-04-03,46.19
2024-04-04,42.37
2024-04-05,43.62
2024-04-08,44.0
2024-04-09,45.39
2024-04-10,43.09
2024-04-11,45.8
2024-04-12,41.51
2024-04-15,39.78
2024-04-16,40.54
2024-04-17,37.06
2024-04-18,34.91
2024-04-19,30.79
2024-04-22,32.07
2024-04-23,34.11
2024-04-24,35.49
2024-04-25,37.41
2024-04-26,39.8
2024-04-29,40.61
2024-04-30,38.18
2024-05-01,34.37
2024-05-02,36.45
2024-05-03,38.97
2024-05-06,41.3
2024-05-07,40.36
2024-05-08,40.41
2024-05-09,39.96
2024-05-10,41.03
2024-05-13,41.27
2024-05-14,43.21
2024-05-15,47.0
2024-05-16,46.26
2024-05-17,45.4
2024-05-20,48.25
2024-05-21,47.98
2024-05-22,49.38
2024-05-23,48.81
2024-05-24,51.44
2024-05-28,54.04
2024-05-29,50.98
2024-05-30,50.0
2024-05-31,48.59
2024-06-03,48.59
2024-06-04,47.59
2024-06-05,53.52
2024-06-06,52.51
2024-06-07,51.87
2024-06-10,53.95
2024-06-11,54.17
2024-06-12,58.72
2024-06-13,60.86
2024-06-14,60.1
2024-06-17,62.67
2024-06-18,65.24
2024-06-20,60.02
2024-06-21,58.2
2024-06-24,53.22
2024-06-25,55.3
2024-06-26,54.78
2024-06-27,53.8
2024-06-28,55.36
2024-07-01,55.36
2024-07-02,57.6
2024-07-03,60.39
2024-07-05,60.81
2024-07-08,64.31
2024-07-09,64.25
2024-07-10,68.59
2024-07-11,61.99
2024-07-12,63.94
2024-07-15,64.14
2024-07-16,65.3
2024-07-17,51.55
2024-07-18,51.66
2024-07-19,47.0
2024-07-22,52.93
2024-07-23,50.53
2024-07-24,42.9
2024-07-25,39.78
2024-07-26,41.92
2024-07-29,41.81
2024-07-30,37.24
2024-07-31,44.39
2024-08-01,35.0
2024-08-02,29.34
2024-08-05,27.89
2024-08-06,28.58
2024-08-07,26.22
2024-08-08,31.46
2024-08-09,31.01
2024-08-12,31.41
2024-08-13,35.28
2024-08-14,35.05
2024-08-15,39.92
2024-08-16,39.73
2024-08-19,41.6
2024-08-20,40.09
2024-08-21,41.73
2024-08-22,37.51
2024-08-23,40.4
2024-08-26,37.37
2024-08-27,38.49
2024-08-28,36.6
2024-08-29,36.19
2024-08-30,38.79
2024-09-03,30.07
2024-09-04,30.3
2024-09-05,29.75
2024-09-06,25.96
2024-09-09,27.43
2024-09-10,28.35
2024-09-11,32.22
2024-09-12,31.81
2024-09-13,33.43
2024-09-16,32.16
2024-09-17,32.16
2024-09-18,31.14
2024-09-19,35.12
2024-09-20,33.55
2024-09-23,33.92
2024-09-24,35.07
2024-09-25,35.74
2024-09-26,39.65
2024-09-27,37.66
2024-09-30,36.68
2024-10-01,33.83
2024-10-02,34.96
2024-10-03,35.21
2024-10-04,36.68
2024-10-07,36.41
2024-10-08,37.46
2024-10-09,38.61
2024-10-10,37.83
2024-10-11,38.67
2024-10-14,40.82
2024-10-15,34.47
2024-10-16,34.46
2024-10-17,35.21
2024-10-18,35.27
2024-10-21,35.09
2024-10-22,34.69
2024-10-23,33.8
2024-10-24,34.29
2024-10-25,35.28
2024-10-28,35.35
2024-10-29,37.98
2024-10-30,34.01
2024-10-31,30.09
2024-11-01,30.83
2024-11-04,30.35
2024-11-05,31.38
2024-11-06,34.12
2024-11-07,36.21
2024-11-08,35.41
2024-11-11,32.77
2024-11-12,31.67
2024-11-13,29.69
2024-11-14,29.6
2024-11-15,26.66
2024-11-18,27.67
2024-11-19,27.85
2024-11-20,27.13
2024-11-21,28.49
2024-11-22,28.49
2024-11-25,29.33
2024-11-26,28.13
2024-11-27,26.98
2024-11-29,28.06
2024-12-02,30.2
2024-12-03,29.73
2024-12-04,30.88
2024-12-05,29.12
2024-12-06,29.61
2024-12-09,29.23
2024-12-10,27.06
2024-12-11,29.12
2024-12-12,28.46
2024-12-13,30.7
2024-12-16,32.51
2024-12-17,31.13
2024-12-18,27.83
2024-12-19,26.3
2024-12-20,27.3
2024-12-23,29.59
2024-12-24,30.48
2024-12-26,30.57
2024-12-27,29.69
2024-12-30,27.94
2024-12-31,27.31
2025-01-02,27.67
2025-01-03,29.82
2025-01-06,32.49
2025-01-07,31.15
2025-01-08,30.18
2025-01-10,28.06
2025-01-13,27.85
2025-01-14,28.12
2025-01-15,29.94
2025-01-16,29.99
2025-01-17,32.49
2025-01-21,33.69
2025-01-22,35.15
2025-01-23,34.92
2025-01-24,32.65
2025-01-27,25.06
2025-01-28,25.37
2025-01-29,25.68
2025-01-30,27.15
2025-01-31,27.02
2025-02-03,25.61
2025-02-04,26.25
2025-02-05,27.7
2025-02-06,27.69
2025-02-07,26.33
2025-02-10,27.35
2025-02-11,27.4
2025-02-12,27.54
2025-02-13,28.47
2025-02-14,28.55
2025-02-18,29.99
2025-02-19,31.47
2025-02-20,31.7
2025-02-21,28.81
2025-02-24,26.76
2025-02-25,25.07
2025-02-26,26.29
2025-02-27,21.75
2025-02-28,22.73
2025-03-03,20.51
2025-03-04,20.65
2025-03-05,21.95
2025-03-06,19.23
2025-03-07,20.88
2025-03-10,17.99
2025-03-11,17.41
2025-03-12,18.3
2025-03-13,18.09
2025-03-14,19.8
2025-03-17,20.79
2025-03-18,19.93
2025-03-19,20.38
2025-03-20,19.93
2025-03-21,19.28
2025-03-24,21.0
2025-03-25,20.55
2025-03-26,18.79
2025-03-27,17.76
2025-03-28,16.03
2025-03-31,15.95
2025-04-01,15.95
2025-04-02,16.26
2025-04-03,11.41
2025-04-04,8.73
2025-04-07,9.15
2025-04-08,8.25
2025-04-09,12.77
2025-04-10,9.63
2025-04-11,10.23
2025-04-14,10.47
2025-04-15,10.6
2025-04-16,9.34
2025-04-17,9.2
2025-04-21,8.71
2025-04-22,9.18
2025-04-23,10.29
2025-04-24,12.0
2025-04-25,12.34
2025-04-28,12.29
2025-04-29,11.86
2025-04-30,12.16
2025-05-01,12.1
2025-05-02,13.29
2025-05-05,13.05
2025-05-06,12.64
2025-05-07,13.28
2025-05-08,13.66
2025-05-09,14.11
2025-05-12,17.13
2025-05-13,18.6
2025-05-14,18.84
2025-05-15,18.47
2025-05-16,18.39
2025-05-19,18.06
2025-05-20,17.97
2025-05-21,17.0
2025-05-22,16.51
2025-05-23,15.73
2025-05-27,17.29
2025-05-28,17.04
2025-05-29,17.2
2025-05-30,16.17
2025-06-02,16.9
2025-06-03,18.3
2025-06-04,19.09
2025-06-05,18.81
2025-06-06,19.18
2025-06-09,20.58
